filter,dist,workload,load_factor,threads,target_fpr,fail_rate,avg_kicks,stash_hits,avg_probe,cluster_mean,cluster_p99
quotient,uniform,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
bloom,uniform,read_only,0.95,1,0.01,,,,,,
bloom,uniform,read_only,0.95,1,0.01,,,,,,
bloom,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
quotient,uniform,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
bloom,uniform,read_only,0.95,1,0.001,,,,,,
bloom,uniform,read_only,0.95,1,0.001,,,,,,
bloom,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
quotient,uniform,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
bloom,uniform,read_only,0.95,1,0.05,,,,,,
bloom,uniform,read_only,0.95,1,0.05,,,,,,
bloom,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
xor,uniform,read_only,0.95,1,0.05,,,,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
quotient,uniform,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
bloom,uniform,read_only,0.95,1,0.01,,,,,,
bloom,uniform,read_only,0.95,1,0.01,,,,,,
bloom,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
xor,uniform,read_only,0.95,1,0.01,,,,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
quotient,uniform,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
bloom,uniform,read_only,0.95,1,0.001,,,,,,
bloom,uniform,read_only,0.95,1,0.001,,,,,,
bloom,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
xor,uniform,read_only,0.95,1,0.001,,,,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,uniform,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
quotient,uniform,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
quotient,uniform,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.05,,,,,,
bloom,sequential,read_only,0.95,1,0.05,,,,,,
bloom,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.01,,,,,,
bloom,sequential,read_only,0.95,1,0.01,,,,,,
bloom,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.001,,,,,,
bloom,sequential,read_only,0.95,1,0.001,,,,,,
bloom,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
quotient,sequential,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.05,,,,,,
bloom,sequential,read_only,0.95,1,0.05,,,,,,
bloom,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.01,,,,,,
bloom,sequential,read_only,0.95,1,0.01,,,,,,
bloom,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.001,,,,,,
bloom,sequential,read_only,0.95,1,0.001,,,,,,
bloom,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
quotient,sequential,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.001,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.05,,,,,,
bloom,sequential,read_only,0.95,1,0.05,,,,,,
bloom,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
xor,sequential,read_only,0.95,1,0.05,,,,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.05,0.0,0.0,0.0,,,
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.05,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.01,,,,,,
bloom,sequential,read_only,0.95,1,0.01,,,,,,
bloom,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
xor,sequential,read_only,0.95,1,0.01,,,,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.01,0.0,0.0,0.0,,,
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
quotient,sequential,read_only,0.95,1,0.01,,,,0.0,0.0,0.0
bloom,sequential,read_only,0.95,1,0.001,,,,,,
bloom,sequential,read_only,0.95,1,0.001,,,,,,
bloom,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
xor,sequential,read_only,0.95,1,0.001,,,,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
cuckoo,sequential,read_only,0.95,1,0.001,0.0,0.0,0.0,,,
